patient_barcode	submitter_id	Project	NOS2	CD4	IKZF2	FOXP3	PKM	TBX21	ENO1	PGM1	GZMB	HIF1A	MMP9	PGK1	GPI	TGFB1	CD33	CA9	IL2	IFNG	IL17A	IL17F	VEGFA	IL12B	CD86	STAT1	EPAS1	SLC2A1	ARG1	CD274	TGFBI	CD80	KIR2DL1	IL1B	CHI3L1	LDHA	IL2RA	IL10	CXCL9	SLC16A3	RORC	S100A8	GZMA	NCAM1	ALDOA	CD8A	SLC16A1	HK2	IL23R	S100A9	CTLA4	CYBB	KIR3DL1	STAT3	IL7R	CXCL10	ITGAM	CD14	CD8B	CD163	PRF1	CXCR3	NCR1	FUT4	FCGR3A	HLA-DRA	NCR3	KLRK1	TNF	PKMP2	MRC1
TCGA-22-4593-01A-21R-1820-07	TCGA-22-4593	LUSC	5.0637	11.2623	1.1568	1.4104	373.1415	0.1122	506.3458	19.5497	1.4063	61.0018	18.8081	286.7913	52.9333	35.6913	0.3857	127.1183	0.0229	0.074	0	0	12.4993	0.0217	1.3111	16.6122	41.227	113.6484	0.0346	1.1873	51.9603	0.0956	0.0151	33.9467	30.0726	183.4846	0.8595	0.1117	3.8948	7.4431	0.0295	34.1094	6.1866	0.3548	3.6543	2.641	17.478	30.1744	0.0199	579.231	0.4307	6.0571	0	37.7498	15.3175	15.7871	2.4217	37.4266	0.5869	5.8714	2.054	0.77	0.0946	0.8346	12.379	169.1092	0.1038	0.0547	2.0217	0.0305	1.8161
TCGA-22-4593-11A-01R-1820-07	TCGA-22-4593	LUSC	0.7924	72.7637	0.7253	0.5648	191.2348	1.4856	494.6454	36.8423	13.1789	48.5352	10.757	158.7394	27.2643	53.0645	4.8163	0.2885	0.0672	0.2071	0	0	9.9619	0.1061	18.7922	33.1664	261.1198	2.8343	0.6781	4.3679	86.724	0.9835	0.2668	25.0699	62.8409	164.0383	1.5001	0.5797	12.7798	13.6151	4.4292	312.1969	18.0949	0.1861	1.2379	9.8413	5.8159	25.574	0.0156	1107.5768	0.9082	146.5914	0.1072	49.6742	50.6209	18.1523	27.8823	182.0909	1.0309	121.212	17.5288	3.9058	0.4897	1.5356	161.8119	3806.0201	0.661	0.0618	1.6963	0.0075	120.5789
TCGA-22-4609-01A-21R-2125-07	TCGA-22-4609	LUSC	1.9507	37.58	1.7651	2.9394	239.7711	0.9781	294.3878	14.8039	19.3224	75.134	86.507	171.3259	42.7127	41.7024	1.2298	198.5979	0.0302	0.7672	0.0361	0.0164	10.1545	0.2429	8.2912	49.945	70.0799	116.4213	1.3017	5.7404	53.4279	0.8622	0	4.856	103.176	201.5835	7.0689	0.4372	63.9343	22.6732	1.0549	278.9379	17.6274	0.1207	5.7395	12.0777	16.1515	66.5352	0.0263	991.4757	2.8969	36.3596	0.0361	30.5167	27.7177	36.0701	7.8996	95.3461	1.3471	39.231	11.4112	3.9191	0.1337	1.2462	67.4941	1391.3182	1.1371	0.1276	1.5704	0	30.1864
TCGA-22-4609-11A-01R-2125-07	TCGA-22-4609	LUSC	0.6903	34.8308	1.1304	0.3298	63.3883	2.4909	158.2898	35.233	13.5966	37.178	6.4402	57.571	11.198	31.2016	1.5794	0.1288	0.0925	0.5129	0.0184	0	15.1688	0.27	6.3198	32.2943	550.3671	2.3268	0.3576	16.0347	18.0708	0.7249	0.1428	16.2033	31.6118	55.878	0.5225	0.4565	29.1813	4.2224	5.1993	76.3102	16.3861	0.466	1.5275	13.2407	1.67	22.6633	0.043	266.3763	1.2819	41.1223	0.3781	51.2913	61.0231	26.3414	8.1774	90.5761	1.5589	23.133	26.5777	2.2979	0.5463	1.4323	51.992	1904.2331	1.917	0.153	3.5472	0	51.6181
TCGA-22-5471-01A-01R-1635-07	TCGA-22-5471	LUSC	0.8291	15.6171	0.2314	4.7034	224.9065	1.5657	409.3867	15.4804	55.6332	49.1544	59.2346	234.6827	69.0609	26.0917	0.6197	19.4118	0	6.2528	0.1187	0	7.7527	0.2976	5.3974	75.4991	15.619	96.8237	0.0584	4.6194	33.0283	0.6569	0.0109	4.1531	25.9347	137.449	2.6355	0.2692	144.04	5.2543	0.1392	83.2601	38.2467	0.0756	1.6681	30.664	16.5529	18.8704	0.0173	310.017	2.8636	11.286	0.0198	36.9549	6.7997	119.1342	6.3731	61.9672	3.0547	4.3905	25.1826	8.7498	0.1759	1.2161	28.5758	921.9833	1.0511	0.073	4.7002	0.011	3.2331
TCGA-22-5471-11A-01R-1635-07	TCGA-22-5471	LUSC	1.1523	59.122	1.0379	0.5565	127.6493	0.9537	207.9027	40.085	4.7215	21.6294	0.744	83.0967	18.6206	38.0259	2.6143	0.3345	0.0924	0.1025	0.1659	0.0402	14.0888	0.1575	11.6179	18.1187	240.2634	3.1031	0.1492	3.6262	33.2501	1.0174	0.2079	5.3357	10.3355	62.1542	0.4439	0.1564	3.3196	9.8923	10.6416	34.6915	7.2506	0.2502	0.978	4.1868	1.79	16.8614	0.0064	159.4501	0.3287	95.2238	0.2212	40.0924	17.8713	2.9934	22.5482	92.8517	0.439	48.9859	13.1713	1.3889	0.4804	1.3966	132.5875	3125.0814	0.7887	0.034	2.2317	0	120.7513
TCGA-22-5472-01A-01R-1635-07	TCGA-22-5472	LUSC	0.7387	22.1101	5.2112	0.408	266.7063	0.4796	368.579	11.9643	3.0386	37.8591	3.3795	111.7428	31.3624	31.3327	0.8685	1.8728	0	0.014	0	0	8.6136	0.0576	3.8116	17.026	69.3853	39.6611	0.0537	1.1389	29.3293	0.3336	0.1006	1.6511	49.4073	109.4767	0.6742	0.1435	3.5494	9.5152	1.9006	162.4617	4.2345	0.0721	1.2664	2.7119	8.2049	15.1623	0.0318	952.2085	0.2147	15.9871	0.0727	31.3331	7.4923	3.7503	2.8087	45.1464	0.419	19.7699	4.7704	1.1879	0.1077	0.7778	40.7332	880.0264	0.3174	0.1509	0.365	0.0101	19.6374
TCGA-22-5472-11A-11R-1635-07	TCGA-22-5472	LUSC	1.4041	70.8197	1.737	0.4791	134.7103	1.9903	227.6556	24.7408	7.2988	30.2234	2.5958	90.332	19.2903	45.3511	3.3591	0.335	0	0.1448	0.0067	0	9.589	0.1378	12.3646	32.1077	262.89	2.6444	0.2033	5.2091	44.9631	1.6299	0.4517	4.2886	35.3134	66.4404	0.7811	0.102	7.4827	9.0636	4.6273	36.4188	9.3965	0.6699	0.7558	9.8824	3.6602	30.0217	0.0663	161.4511	0.3161	105.2091	0.4286	47.881100000000004	31.024	8.5941	17.0419	57.2607	1.5213	88.9738	18.9621	2.9269	0.3306	1.3192	131.0381	2778.9202	1.1787	0.1605	0.2016	0.0149	169.7355
TCGA-22-5478-01A-01R-1635-07	TCGA-22-5478	LUSC	0.875	14.0863	0.9542	1.5773	416.3728	0.3175	570.1231	25.9481	3.1498	54.9269	44.3131	220.5648	56.2054	41.9224	0.4206	30.6001	0.0473	0.2184	0.0212	0	6.5306	0.056	3.5983	24.5534	81.5706	201.7887	0.1609	0.8082	19.6067	0.2841	0.086	1.3495	118.2614	175.2956	1.0817	0.1154	13.3229	23.9384	0.688	141.1487	5.8016	9.6755	2.4907	2.0303	42.1831	60.4451	0.0165	978.5995	0.9395	13.1636	0.0353	29.7008	8.8415	8.9044	3.0487	52.3386	0.1854	8.6437	3.2831	1.6268	0.0768	1.3579	21.9934	543.62	1.0298	0.0478	0.3311	0.0237	4.9869
TCGA-22-5478-11A-11R-1635-07	TCGA-22-5478	LUSC	1.0342	59.2712	1.2831	0.5164	96.216	2.0134	161.4225	37.0554	12.3664	18.786	7.2189	81.8011	14.5129	45.6217	3.2737	0.1017	0.1217	0.6299	0	0	15.0023	0.1152	12.6544	34.8273	589.5539	1.9339	0.1964	8.893	29.4157	1.2082	0.8695	8.6101	11.2722	48.2096	0.416	0.1228	28.8067	8.4518	8.9123	76.6834	15.5673	0.2128	0.7648	4.128	1.7175	25.0746	0.0382	284.0526	1.0502	124.8997	1.0484	43.7518	60.6831	18.1657	18.3606	92.5313	0.387	49.5173	25.7768	5.6183	0.7332	1.6389	140.243	3524.9758	1.5466	0.0537	3.1253	0	142.7438
