patient_barcode	submitter_id	Project	NOS2	CD4	IKZF2	FOXP3	PKM	TBX21	ENO1	PGM1	GZMB	HIF1A	MMP9	PGK1	GPI	TGFB1	CD33	CA9	IL2	IFNG	IL17A	IL17F	VEGFA	IL12B	CD86	STAT1	EPAS1	SLC2A1	ARG1	CD274	TGFBI	CD80	KIR2DL1	IL1B	CHI3L1	LDHA	IL2RA	IL10	CXCL9	SLC16A3	RORC	S100A8	GZMA	NCAM1	ALDOA	CD8A	SLC16A1	HK2	IL23R	S100A9	CTLA4	CYBB	KIR3DL1	STAT3	IL7R	CXCL10	ITGAM	CD14	CD8B	CD163	PRF1	CXCR3	NCR1	FUT4	FCGR3A	HLA-DRA	NCR3	KLRK1	TNF	PKMP2	MRC1
TCGA-05-4244-01A-01R-1107-07	TCGA-05-4244	LUAD	0.1381	23.064	1.2033	1.2847	248.5489	0.4242	323.8565	84.2735	2.3434	32.7452	9.3524	419.8802	28.5502	25.0265	1.5049	0.5665	0.0452	0.209	0	0	93.7056	0.2855	5.8509	25.4956	37.878	18.2988	0.114	8.156	216.9326	0.6406	0.0199	2.4669	1814.2553	320.5772	1.6692	0.1325	5.1082	33.8066	9.0034	24.3116	4.8766	0.2517	5.0889	2.6116	1.4858	22.1043	0.021	477.8187	1.553	36.3553	0.018	28.4816	4.5483	9.8925	13.5426	42.2375	0.441	16.6789	1.5075	4.4486	0.0356	1.1082	36.1429	1273.5271	0.4926	0.0665	0.7641	0.0302	36.1569
TCGA-05-4249-01A-01R-1107-07	TCGA-05-4249	LUAD	0.2381	41.0622	1.1556	2.1221	134.9552	0.3334	285.1034	15.1698	2.3373	50.4639	12.6792	123.0062	29.9074	40.8272	1.9959	3.0813	0.0279	0.1033	0.0084	0.0303	13.9716	0.2182	8.2174	41.4326	59.5974	12.1253	0.1057	2.0355	20.2376	1.0362	0	2.6855	48.6137	111.9119	1.1598	0.2363	8.9952	10.7887	19.1098	4.5083	3.105	0.0884	2.3104	2.3068	1.8192	15.0303	0.0438	160.8808	0.9787	38.7762	0.0251	47.0735	4.1255	9.3912	6.0151	38.0503	0.3553	11.5309	3.5754	2.4511	0.066	1.2769	32.034	1537.3387	0.2408	0.0308	7.8987	0	15.9281
TCGA-05-4250-01A-01R-1107-07	TCGA-05-4250	LUAD	0.5584	27.1305	1.5892	0.9681	303.9072	0.7334	427.28	18.2909	19.9615	73.0271	11.1194	316.9218	42.3435	42.2358	0.8167	12.7061	0.089	1.631	0.0089	0	38.2035	0.1053	7.2532	71.0645	32.8419	58.2212	0.015	12.8561	94.2158	0.6354	0	1.5831	33.4217	306.0725	6.8241	0.4006	65.632	48.2718	13.6125	9.5933	26.9707	0.0391	4.2089	18.0127	4.5526	16.6086	0.0052	90.6916	2.1949	28.3805	0.0177	26.2155	5.4837	36.5707	5.4916	53.9112	1.528	39.2685	12.8995	8.2987	0.2978	1.534	79.7282	1407.1994	0.2423	0.0327	0.6034	0.0198	39.4171
TCGA-05-4382-01A-01R-1206-07	TCGA-05-4382	LUAD	0.8018	63.5566	1.7299	3.8354	256.3345	0.6149	485.5292	26.3982	13.447	30.7771	48.1248	266.9906	38.7923	32.4057	2.4152	4.5131	0.0641	0.4048	0	0	44.7931	0.1214	14.4394	46.1501	27.2451	152.1797	0.07	4.5023	73.8878	1.4103	0.0424	11.4312	82.0085	183.2227	5.996	0.4624	63.7624	38.0254	9.8864	18.1818	9.3804	0.1661	3.469	3.0507	8.4351	40.5198	0.0707	226.0111	2.2459	58.7019	0.0831	40.9692	9.9936	77.4324	20.2793	226.9048	0.3442	53.958	3.808	3.7948	0.0757	2.9105	162.9137	1996.6149	0.8824	0.0707	1.5105	0	23.6003
TCGA-05-4384-01A-01R-1755-07	TCGA-05-4384	LUAD	0.9248	29.1656	2.1531	0.7852	196.2784	0.3533	361.1929	14.4911	2.3321	34.7864	16.0967	80.8673	24.9171	20.2268	1.3968	0.1674	0.0267	0.1235	0.016	0	16.38	0.1645	5.1177	25.3641	116.0659	8.1456	0.1887	1.267	19.4245	0.391	0.0707	2.8234	38.2575	83.7125	1.5402	0.2697	4.4096	9.1656	29.7992	16.0481	4.1065	0.0681	3.7422	2.0603	1.2186	7.2738	0.0186	223.3368	0.9505	25.2303	0.048	45.1165	10.1519	6.6193	7.0262	70.8642	0.221	23.854	3.2314	1.6387	0.1105	0.8739	68.0831	804.6474	0.1698	0.0688	2.4601	0.0178	21.634
TCGA-05-4389-01A-01R-1206-07	TCGA-05-4389	LUAD	6.9735	38.0847	0.6726	3.7786	195.5525	0.9842	299.5927	16.9201	15.674	37.4414	33.4532	150.8877	45.4702	19.2349	1.499	0.5249	0.1539	1.5077	0.0276	0.0334	11.8569	0.0947	7.8229	63.5448	32.2917	25.5891	0.9858	3.8155	19.7241	0.9971	0.0916	1.3738	87.3559	91.2963	5.4777	0.3907	60.0699	11.2107	15.5328	5.4321	25.8172	0.0609	2.3661	21.7832	4.5308	2.2906	0.0214	987.1363	3.3644	39.2439	0.0552	29.7215	7.8282	50.5735	5.587	74.2798	2.6331	11.2084	10.5138	9.1117	0.1909	1.3247	55.0167	2057.5573	2.0675	0.1019	2.6996000000000002	0.0205	24.5417
TCGA-05-4390-01A-02R-1755-07	TCGA-05-4390	LUAD	0.2283	15.2575	0.8047	0.9029	203.6824	0.1111	692.2144	22.251	6.9804	90.3666	47.9884	365.9962	42.9258	14.7106	0.5477	21.4785	0	0.0803	0.0173	0	12.4963	0.0411	4.9489	12.6877	68.211	31.8015	0.0292	1.5458	32.101	0.2218	0.9957	2.2504	16.9751	248.1822	3.7616	0.1507	8.9535	26.5395	6.5425	5.0908	1.4825	2.0655	3.8246000000000002	1.5089	18.3333	60.0407	0.0202	57.1084	1.514	14.9517	0.0519	39.3021	9.7951	9.0442	4.6537	71.7381	0.7979	16.0352	2.3547	0.9918	0	0.754	28.4399	312.6359	0.289	0.0106	0.3862	0	18.2916
TCGA-05-4395-01A-01R-1206-07	TCGA-05-4395	LUAD	0.2279	13.762	1.1044	0.9042	693.3351	0.3199	743.8346	66.8481	11.5387	120.9324	4.9054	232.3085	16.2908	23.9321	0.6302	39.5401	0.0363	0.2796	0	0	26.204	0.0516	5.5764	44.2564	99.9725	70.748	0.0183	2.1102	85.7443	0.6703	0	0.9003	3.7659	354.8652	2.3247	0.1024	20.477	132.2952	21.9003	155.6843	26.9994	0.1574	9.3637	3.5451	31.5333	16.6509	0.0253	6515.9443	1.5254	17.9104	0.0145	39.3215	5.7173	43.9205	4.0888	49.8816	0.3464	14.1623	8.4616	1.3603	0.5218	1.2005	40.3419	873.7966	0.6262	0.1379	0.2341	0.0081	9.5557
TCGA-05-4396-01A-21R-1858-07	TCGA-05-4396	LUAD	0.3372	15.0803	2.7966	1.0696	113.2408	0.5369	138.9814	23.8874	1.8136	27.237	11.7641	152.2403	14.3102	11.6804	0.1366	2.3756	0.1326	0.30620000000000003	0	0	26.0486	1.0982	1.597	28.2039	78.1606	11.4388	0.0334	0.7583	7.8623	0.1039	0.0438	0.8997	56.2085	145.4156	0.8612	0.0431	8.6906	10.735900000000001	19.1891	1.9979	3.6424	0.2708	1.1332	1.3137	2.5108	6.0098	0.0115	56.5033	0.8492	9.9858	0.1189	49.9713	4.3	14.9292	1.7278	23.089	0.1054	5.3509	1.9589	1.3345	0.137	3.0666	11.9765	670.4164	0.4512	0.0487	0.7515	0	3.6314
TCGA-05-4397-01A-01R-1206-07	TCGA-05-4397	LUAD	0.1143	19.8981	1.0065	1.3295	273.4213	0.1602	580.8446	36.2218	6.0265	42.1488	14.082	199.0945	42.212	12.5861	0.812	16.5152	0.055	0.0678	0.0055	0	5.66	0.0391	5.6435	39.1704	19.8353	21.3849	0.6518	1.2809	70.3146	0.6193	0.0121	3.4771	456.0789	115.8675	4.3986	0.3549	24.3377	6.9011	5.0713	34.7555	4.9913	0.0652	3.0727	2.254	8.1761	13.9215	0.016	438.6527	1.1743	21.9919	0.1206	28.1603	3.769	102.8886	5.2117000000000004	95.6779	0.3109	22.9174	4.151	0.8814	0.1191	1.0733	33.6632	1549.3911	0.4326	0.053900000000000003	0.4035	0.0061	13.0215
TCGA-05-4398-01A-01R-1206-07	TCGA-05-4398	LUAD	1.2531	42.6515	2.2449	2.3964	219.3632	2.645	623.2604	32.919	10.9745	45.6019	32.631	263.9474	68.4798	32.3875	2.199	1.014	0.1316	0.8947	0	0.0102	80.4912	0.3204	10.8197	50.4108	42.7629	86.3354	0.0379	19.9255	107.2108	1.2474	0.0311	14.3689	18.9968	240.2466	6.537	0.1866	52.9569	28.2927	18.4648	100.0851	9.8153	0.0553	9.5252	5.7274	2.3529	16.6542	0.0229	3010.5187	2.1285	43.0913	0.0506	36.132	12.9889	91.0786	12.9444	151.4511	0.4723	31.2336	3.2587	6.2316	0.1499	2.0748	133.7725	1391.1259	0.6655	0.1244	4.7959	0.0188	18.6204
TCGA-05-4402-01A-01R-1206-07	TCGA-05-4402	LUAD	0.1671	33.4644	2.5639	1.5684	271.9265	0.2499	1149.9716	47.1486	2.0998	36.1939	15.0847	289.5721	24.9966	22.4372	1.2794	15.9011	0.0505	0.0747	0	0	14.9878	0.11	8.3902	62.4616	22.0109	70.9211	0.0459	1.704	39.5972	0.7743	0.0201	4.0402	14.8092	233.1668	2.018	0.2795	5.3983	28.7015	10.9009	15.9286	3.3573	0.253	3.2842	2.1846	2.5074	15.7438	0.0493	1124.0971	1.0675	30.7053	0.0181	45.2155	5.2561	28.2765	8.9567	81.8986	0.2292	20.7426	7.4149	2.5448	0.0298	2.0568	54.7215	1453.7181	0.8713	0.0446	1.1592	0.0135	15.2737
TCGA-05-4403-01A-01R-1206-07	TCGA-05-4403	LUAD	0.3442	41.8032	1.2655	0.8848	533.8081	0.3451	225.1141	21.3802	2.4028	24.4139	34.7444	151.6992	23.7436	24.8819	2.0423	26.05	0.0116	0.2351	0.0069	0	5.0458	0.0712	8.8479	27.5817	40.6159	69.7856	0.0641	1.8239	47.6553	0.7048	0	3.7759	51.7658	140.9717	1.8682	0.301	20.5192	20.8042	6.1198	20.8123	12.1173	0.0803	2.6496	2.6059	7.9877	25.811	0.1087	213.4618	0.6168	47.4909	0.0069	25.1813	4.8882	28.2268	11.985	184.4649	0.2819	18.5351	3.4844	2.4811	0.0546	4.1925	48.8985	1619.9862	0.5667	0.017	0.7018	0.0077	31.6354
