patient_barcode	submitter_id	Project	NOS2	CD4	IKZF2	FOXP3	PKM	TBX21	ENO1	PGM1	GZMB	HIF1A	MMP9	PGK1	GPI	TGFB1	CD33	CA9	IL2	IFNG	IL17A	IL17F	VEGFA	IL12B	CD86	STAT1	EPAS1	SLC2A1	ARG1	CD274	TGFBI	CD80	KIR2DL1	IL1B	CHI3L1	LDHA	IL2RA	IL10	CXCL9	SLC16A3	RORC	S100A8	GZMA	NCAM1	ALDOA	CD8A	SLC16A1	HK2	IL23R	S100A9	CTLA4	CYBB	KIR3DL1	STAT3	IL7R	CXCL10	ITGAM	CD14	CD8B	CD163	PRF1	CXCR3	NCR1	FUT4	FCGR3A	HLA-DRA	NCR3	KLRK1	TNF	PKMP2	MRC1
TCGA-18-3406-01A-01R-0980-07	TCGA-18-3406	LUSC	0.5353	20.5578	1.6545	1.6533	214.8977	0.2542	794.7688	25.5099	10.4862	172.0502	15.944	705.2212	53.9055	15.3668	0.7817	219.6401	0.1403	0.8102	0	0.0381	32.3308	0.0996	14.5477	72.4719	16.3479	197.6103	0.1769	2.226	40.3707	1.4047	0.1624	12.8996	28.9653	398.5837	2.1396	0.6048	58.5503	8.8715	0.6082	7050.2717	28.6904	0.0616	3.0545	6.1399	18.6603	25.7644	0.1221	38508.1636	3.9247	29.1727	0.0629	27.6912	12.7845	165.2037	2.8773	50.3444	1.472	8.4095	4.7383	0.7377	0.1657	0.434	61.9306	10414.927	1.0504	0.116	2.4558	0.0702	8.3441
TCGA-18-3407-01A-01R-0980-07	TCGA-18-3407	LUSC	0.6933	13.8045	1.1659	1.3865	212.5163	0.2861	420.6424	21.4922	6.1133	104.6948	22.0774	284.5611	84.9491	43.2386	1.3103	24.8258	0	0.3571	0.0487	0	19.6856	0.0385	5.4564	57.3084	45.9277	223.9667	0.0513	19.1194	50.8687	0.3896	0.0135	7.5486	65.8553	297.7564	1.528	0.1059	4.575	13.8912	0.9324	1396.444	7.2901	0.025	3.715	3.6278	50.7373	56.983	0.0567	3640.7037	1.0103	8.8905	0.0122	48.256	11.4099	13.7331	2.4408	35.6996	0.6036	8.9511	2.7478	1.2223	0.012	0.4019	25.0311	399.7342	0.2953	0.1271	1.492	0	4.8432
TCGA-18-3408-01A-01R-0980-07	TCGA-18-3408	LUSC	0.4693	21.0636	2.2141	1.0648	245.2316	0.2326	253.0172	15.7836	8.9851	76.0908	2.3775	300.199	38.9777	12.4633	1.0561	5.6058	0.1039	0.6483	0.0622	0	9.0593	0.1845	7.5551	36.0455	15.6498	91.4109	0.0786	13.2012	40.4689	0.6607	0.0344	3.1117	18.123	269.0421	5.5191	0.2283	35.4182	1.4693	1.1155	55.4474	31.0902	0.1278	0.1595	4.139	15.7885	25.3242	0.0181	208.3168	1.1957	19.248	0.0622	28.2842	12.037	25.6877	1.4519	10.5514	0.4627	12.6113	4.2266	0.203	0.2455	0.4943	48.9472	1366.6934	0.7075	0.1242	0.5025	0	9.9655
TCGA-18-3409-01A-01R-0980-07	TCGA-18-3409	LUSC	0.4612	40.4995	0.6815	0.9415	226.2794	0.2767	636.888	26.1235	1.6154	41.6645	27.15	363.4332	35.4664	36.4674	1.3415	34.457	0.0224	0.2068	0	0	24.1787	0.053	7.6012	30.4938	20.6577	153.1644	0.1355	1.7134	97.4213	0.6003	0.0148	4.4702	55.8243	198.4243	2.2317	0.4734	45.2702	18.9207	1.7027	15.6868	8.0792	2.9636	1.2953	1.6841	24.922	28.9634	0.0156	93.811	0.5852	39.3101	0.0402	26.463	8.484	39.8641	11.0269	106.5921	0.1661	19.9267	1.9696	1.5874	0.0397	1.1121	72.0197	1621.7174	0.2031	0.0411	1.0001	0.0149	13.8326
TCGA-18-3410-01A-01R-0980-07	TCGA-18-3410	LUSC	1.2418	21.3911	0.7964	4.5891	392.1779	0.5605	422.1059	18.4509	12.3702	35.3849	44.3431	131.0768	38.2811	26.8897	0.9727	32.747	0.0822	1.4428	0	0	7.9427	0.1556	15.8076	50.3595	11.5283	75.4462	0.0746	59.5556	29.7537	0.6125	0	3.3374	35.4119	167.2638	14.1168	0.2193	45.8908	6.1676	0.4544	42.8741	26.7468	0.0534	1.2921	15.0142	1.9373	10.8526	0.0401	128.9707	3.9965	22.4239	0.0098	22.8821	25.2145	325.8175	7.4242	95.8899	2.4423	9.3306	6.8953	4.8796	1.1841	5.4427	36.4471	2352.8676	0.4624	0.1148	7.563	0.011	1.4003
TCGA-18-3411-01A-01R-0980-07	TCGA-18-3411	LUSC	0.3607	20.1904	0.8482	1.0854	381.0056	0.2836	416.844	10.1907	11.4811	58.378	9.1822	276.6546	61.1172	30.5592	0.4	11.5363	0	0.1941	0	0	10.8755	0.0249	8.6516	34.668	18.8578	107.1925	0.053	1.7548	31.3438	1.5425	0.1158	0.7291	37.4764	186.5201	5.2803	0.3304	84.2573	11.3128	0.1292	142.9024	10.1004	0.103	1.4836	2.9296	62.1288	13.9715	0.0122	2691.0251	1.9772	25.8122	0.2827	26.5743	3.2442	70.6191	1.7942	90.0506	0.4787	10.9211	7.2115	1.1257	0.093	0.6531	53.8777	1124.8497	0.3813	0.0064	0.1051	0	5.0746
TCGA-18-3412-01A-01R-0980-07	TCGA-18-3412	LUSC	0.3032	11.3772	2.2758	0.8457	220.9771	0.162	441.9005	13.0628	3.4388	36.2077	10.7909	345.2739	114.1127	37.6434	0.5662	1.9115	0.0173	0.1117	0	0	12.861	0.0572	4.7976	20.7912	31.9249	259.2151	0.1045	3.0964	21.4127	0.5475	0.0114	4.2401	14.5313	149.516	2.2054	0.208	18.5048	17.6937	0.1483	1097.7674	7.5296	0.1761	2.7464	2.0605	14.9248	44.0256	0.018	6629.6953	0.8491	13.3307	0	24.0706	4.4057	32.0813	1.9134	48.1399	0.2234	5.7012	2.3108	1.007	0.0306	0.3031	23.5094	608.8338	0.3763	0.0318	0.288	0.0231	3.2305
TCGA-18-3414-01A-01R-0980-07	TCGA-18-3414	LUSC	0.5046	12.1029	2.7433	1.3637	206.7074	0.2232	333.0327	8.7804	4.09	49.5923	5.0017	178.6886	27.164	24.7693	0.4458	31.0966	0	0.088	0	0	11.3547	0.0601	3.8128	25.4666	24.6029	99.354	0.016	1.4005	15.1084	0.5084	0.0105	5.4232	29.1565	192.5903	1.9541	0.5215	9.0939	5.6818	0.1907	200.746	9.4928	0.0558	2.1008	5.9054	5.6181	30.5449	0.0111	2455.4952	1.004	10.4268	0.038	17.4146	8.6483	35.6799	1.4485	62.4614	4.8841	6.8554	3.8151	1.4495	0.0656	0.4748	24.7423	367.6979	0.3024	0.0817	1.9683	0	1.9338
TCGA-18-3416-01A-01R-0980-07	TCGA-18-3416	LUSC	0.2951	26.1123	1.2112	2.2296	193.2268	1.6221	724.6855	16.577	26.829	42.6031	10.1033	417.3456	73.8057	11.4866	0.83	5.5384	0.0232	7.011	0.3747	0.0504	8.1971	0.3405	8.3475	125.6615	14.4581	391.2518	0.0234	40.2987	13.8821	1.5677	0.2302	4.1332	20.6601	194.3955	5.662	0.5587	145.2806	10.8249	0.1275	7.9262	118.0556	0.1957	6.0689	46.5378	21.2498	16.0312	0.0323	48.122	4.0523	34.5397	0.4441	13.3087	4.3475	537.2031	6.628	79.1685	5.1791	15.5785	45.0299	5.5359	1.6853	1.217	114.6709	1090.472	0.8212	0.5885	1.1914	0.031	4.0538
TCGA-18-3417-01A-01R-1443-07	TCGA-18-3417	LUSC	0.2105	33.6816	0.2837	2.0817	852.4127	0.022	726.4897	36.9231	5.4143	79.1005	76.4082	408.4955	81.0318	49.9854	0.5521	52.4411	0	0.0478	0.0309	0	21.1154	0.049	6.2473	40.3591	21.3215	200.0982	0.0261	2.0992	160.2407	0.7565	0.0342	21.2924	48.0837	197.0351	1.2855	0.0673	6.7497	15.5624	0.1954	86.1319	8.591	0.0182	2.4335	2.9612	17.8063	18.9236	0	745.0141	1.0818	10.4111	0	27.1203	9.9312	18.6188	2.3301	35.9618	0.2631	6.8774	3.4018	0.1865	0.0305	0.917	35.6388	518.0922	0.4225	0.019	1.1037	0	4.3284
TCGA-18-3419-01A-01R-0980-07	TCGA-18-3419	LUSC	691.1371	14.0668	3.6121	2.7508	207.6742	0.4552	401.5791	15.9671	18.031	110.6097	23.0398	240.4198	58.1631	22.8272	0.6291	8.7005	0.0445	1.994	1.437	0.0725	4.6283	0.1158	4.7659	66.605	28.4689	74.0762	0.0337	2.9088	9.326	0.6508	0.0883	6.0146	25.997	181.7085	4.348	0.2968	52.9979	11.1933	0.1222	5042.9618	24.6162	0.0782	2.0285	8.5157	54.3999	174.372	0.1627	26652.7231	1.7914	23.005	0	22.3909	6.0498	40.7627	2.1051	45.9362	0.7592	10.771	9.2241	2.7942	0.1839	0.8464	28.7858	577.3662	0.5653	0.0981	0.8011	0.0148	10.7004
TCGA-18-3421-01A-01R-0980-07	TCGA-18-3421	LUSC	65.8448	9.9649	0.655	0.8441	704.197	0.4741	1031.4902	43.4023	33.7417	125.6568	7.3594	713.9142	72.4958	21.937	0.7556	108.8203	0.0776	2.1509	0	0	11.1588	0.2081	4.4967	40.3973	28.6403	213.6953	0.1435	8.5882	30.4346	0.2702	0.0171	2.2219	69.8463	298.6755	3.6378	0.3955	49.9383	4.3872	0.7639	7029.3564	54.1047	0.0773	2.5775	17.1715	19.8636	39.5592	0.045	40902.4689	1.0684	10.9946	0.0464	25.4146	7.0336	127.5663	0.9362	41.0421	2.3081	12.3532	10.9078	2.1295	0.168	0.2914	31.0555	1276.2615	0.4929	0.1331	1.1556	0.0345	5.3053
